scene_variant,geometry_seed,measurement_seed,block_id,perturbation_type,direction_id,registration_path,d50_state,d90_state,d50,d90,finite_imputation_used
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_00,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_01,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_02,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_03,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_04,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_04,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_05,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_05,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_06,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_06,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_07,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_07,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_08,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_08,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_09,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_09,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_10,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_10,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_11,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,ico_11,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,neg_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,rotation,pos_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_00,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_01,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_02,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_03,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_04,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_04,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_05,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_05,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_06,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_06,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_07,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_07,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_08,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_08,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_09,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_09,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_10,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_10,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_11,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_11,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_00,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_01,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_02,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_03,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_04,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_04,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_05,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_05,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_06,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_06,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_07,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_07,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_08,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_08,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_09,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_09,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_10,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_10,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_11,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,ico_11,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,neg_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,rotation,pos_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_00,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_01,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_02,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_03,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_04,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_04,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_05,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_05,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_06,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_06,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_07,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_07,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_08,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_08,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_09,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_09,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_10,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_10,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_11,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_11,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_x,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_x,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_y,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_y,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_z,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_z,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_00,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_00,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_01,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_01,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_02,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_02,full_reassociation,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_03,frozen_jacobian,EXACT,EXACT,0.0,0.0,false
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,rotation,ico_03,full_reassociation,EXACT,EXACT,0.0,0.0,false
